07-29 16:24:40.190 I/[APP][Time](27331): Init using time: 58 ms, current time: 1406622280198 ms
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::122 @#@#log pWorkPath: /data/data/com.visualon.AppUI/lib/
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::287 @#@#log szDll: /data/data/com.visualon.AppUI/lib/libvoLogSys.so
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::voLoadModule0x0a030000::308 @#@#log voLoadModule(0x0a030000)(0xb000fa2c, 0x531a6714, 0x531a6728, 0x531a6740, 0x531a6754)
07-29 16:24:40.670 I/VOLOG   (27331): /home/vbuild/mod/29204/main/Source/DRM/Verimatrix/AES128/Project/ndk/v6/jni/../../../../../../../../Common/voLog.c::vologInit0x0a030000::143 @#@#log maxlevel: 4
07-29 16:24:40.870 I/VOLOG   (27331): 16:24:40.882 @@@VOLOG,   Info, 0A030000, 0233FEA8, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 633, asset id 31
07-29 16:24:40.940 I/[APP][Time](27331): Open complete using time: 295 ms, current time: 1406622280954 ms
07-29 16:24:40.940 I/VOLOG   (27331): 16:24:40.954 @@@VOLOG,   Info, 0A030000, 40075528, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 581, u_flag 80, e_source_format 8100
07-29 16:24:40.940 I/VOLOG   (27331): 16:24:40.954 @@@VOLOG,   Info, 0A030000, 40075528, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 581, u_flag 80, e_source_format 8100
07-29 16:24:40.940 I/VOLOG   (27331): 16:24:40.954 @@@VOLOG,   Info, 0A030000, 40075528, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 581, u_flag 80, e_source_format 8100
07-29 16:24:40.950 I/VOLOG   (27331): 16:24:40.967 @@@VOLOG,   Info, 00150000, 022DE700, voChannelItemThread.cpp, ToDealItem_II, 1655, New "audio&video" Chunk:cars_600_00001.ts, (ASTrackID:0, Flag:0x00000005, Live Time:(-1), Dead Time: (-1),StartTime:0) Current Time: 2014-07-29 16:24:40:158 [1406622280158], PreviousStartTime:-1 
07-29 16:24:41.040 I/[APP][Time](27331): Run using time: 95 ms, current time: 1406622281049 ms
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.058 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 581, u_flag 2, e_source_format 8100
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.058 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 687, szCurURL http://10.2.68.24/ericsson/drm/cars/cars_600-nodrm.m3u8
07-29 16:24:41.050 I/VOLOG   (27331): 16:24:41.058 @@@VOLOG,   Info, 0A030000, 022DE700, DRM_Verimatrix_AES128_Other.cpp, OnSourceDrm, 688, szKeyString #EXT-X-KEY:METHOD=AES-128,URI="https://public-ott-nodrm.verimatrix.com/CAB/keyfile?r=31&t=VOD&p=0"
